id,select_type,table,partitions,type,possible_keys,key,key_len,ref,rows,filtered,Extra
1,SIMPLE,insider_trades,NULL,ALL,stock_id,NULL,NULL,NULL,954,11.11,"Using where; Using temporary; Using filesort"
1,SIMPLE,stocks,NULL,eq_ref,PRIMARY,PRIMARY,4,honorsproject.insider_trades.stock_id,1,100.00,NULL
1,SIMPLE,sp_curr,NULL,ref,stock_id,stock_id,5,honorsproject.insider_trades.stock_id,122,10.00,"Using where"
1,SIMPLE,sp_prev,NULL,ref,stock_id,stock_id,5,honorsproject.insider_trades.stock_id,122,10.00,"Using where"
